MMETSP.Strain,Doubling.Time,OGT,Source,GenomeOrTranscriptome,Source.Link,Source.DOI
Skeletonema japonicum strain FDK158,10.20584806,25,Thomas et al. 2012; [135],MMETSP0595,,https://doi.org/10.1126/science.1224836
Skeletonema japonicum strain FDK159,10.90139734,20,Thomas et al. 2012; [135],MMETSP0596,,https://doi.org/10.1126/science.1224836
Skeletonema japonicum strain FDK161,10.72568171,25,Thomas et al. 2012; [135],MMETSP0597,,https://doi.org/10.1126/science.1224836
Skeletonema marinoi�dohrnii complex strain FDK031,9.843510256,30,Thomas et al. 2012; [135],"MMETSP0319,MMETSP0320,MMETSP1040,MMETSP1039,MMETSP1428,MMETSP0918,MMETSP0920",,https://doi.org/10.1126/science.1224836
Skeletonema marinoi�dohrnii complex strain FDK032,10.21211316,30,Thomas et al. 2012; [135],"MMETSP0319,MMETSP0320,MMETSP1040,MMETSP1039,MMETSP1428,MMETSP0918,MMETSP0921",,https://doi.org/10.1126/science.1224836
Skeletonema marinoi�dohrnii complex strain FDK033,10.24986589,30,Thomas et al. 2012; [135],"MMETSP0319,MMETSP0320,MMETSP1040,MMETSP1039,MMETSP1428,MMETSP0918,MMETSP0922",,https://doi.org/10.1126/science.1224836
Skeletonema marinoi�dohrnii complex strain FDK035,10.0882549,25,Thomas et al. 2012; [135],"MMETSP0319,MMETSP0320,MMETSP1040,MMETSP1039,MMETSP1428,MMETSP0918,MMETSP0923",,https://doi.org/10.1126/science.1224836
Skeletonema marinoi�dohrnii complex strain FDK039,9.973340727,25,Thomas et al. 2012; [135],"MMETSP0319,MMETSP0320,MMETSP1040,MMETSP1039,MMETSP1428,MMETSP0918,MMETSP0924",,https://doi.org/10.1126/science.1224836
Skeletonema menzelii strain DM08080630,7.850652352,25,Thomas et al. 2012; [135],"MMETSP0603,MMETSP0604",,https://doi.org/10.1126/science.1224836
Skeletonema menzelii strain DM08080730,6.447880749,35,Thomas et al. 2012; [135],"MMETSP0603,MMETSP0605",,https://doi.org/10.1126/science.1224836
Skeletonema menzelii strain FDK221,7.869220593,30,Thomas et al. 2012; [135],"MMETSP0603,MMETSP0606",,https://doi.org/10.1126/science.1224836
Skeletonema menzelii strain FDK222,8.483188339,30,Thomas et al. 2012; [135],"MMETSP0603,MMETSP0607",,https://doi.org/10.1126/science.1224836
Skeletonema pseudocostatum strain FDK225,8.755543333,30,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema tropicum clone 21-L,10,31,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema tropicum clone fall,10.12658228,31,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema tropicum clone S. trop.,7.999999999,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema tropicum clone spring,10.12658228,31,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema tropicum strain FDK199,13.6468682,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema tropicum strain FDK202,12.76710079,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema tropicum strain FDK204,10.73260151,30,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema tropicum strain FDK205,10.65697139,30,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema tropicum strain FDK207,10.73260151,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Stellarima microtrias,28.36879431,4,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Stephanopyxis palmeriana,17.49271137,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Stichococcus (possibly S. cylindricus),49.99999995,17.5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Synedra sp.,42.7807487,5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Tetraselmis sp. clone BT-2,49.58677692,22.5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Thalassionema nitzschioides,10.93394078,22.15,Thomas et al. 2012; [135],"MMETSP0693,MMETSP0156,MMETSP0158",,https://doi.org/10.1126/science.1224836
Thalassiosira nordenskioeldii,17.56656001,15,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Thalassiosira nordenskioeldii clone TN-2,13.43033016,10,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
"Thalassiosira pseudonana clone 3H, NEPCC 58",6.975065968,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Thalassiosira pseudonana clone 5A,8.898776418,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Thalassiosira rotula clone A8,12.86863271,25,Thomas et al. 2012; [135],"MMETSP0404,MMETSP0403,MMETSP0910,MMETSP0911,MMETSP0912,MMETSP0913",,https://doi.org/10.1126/science.1224836
Thalassiosira rotula clone C8,10.19974501,25,Thomas et al. 2012; [135],"MMETSP0404,MMETSP0403,MMETSP0910,MMETSP0911,MMETSP0912,MMETSP0913",,https://doi.org/10.1126/science.1224836
Unidentified prymnesiophyte strain NT19,29.70630774,27,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Acanthamoeba castellanii,6.5,36,Nielsen et al. 2014; [98],GCA_000193105.1;GCA_000826485.1;GCA_903821525.1,https://link.springer.com/article/10.1007/s00436-014-4109-0/tables/2,https://doi.org/10.1007/s00436-014-4109-0
Acanthamoeba culbertsoni,10,37,Shukla et al. 1990; [127],GCA_000826265.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1990.tb01134.x,https://doi.org/10.1111/j.1550-7408.1990.tb01134.x
Acanthamoeba polyphaga,4.62,20,"Rose and Caron, 2007; [119]",GCA_000826345.1;GCA_001567625.1,,
Andalucia godoyi,72,20,Valach et al. 2020; [139],GCA_009859145.1,https://doi.org/10.1093/molbev/msaa223,https://doi.org/10.1093/molbev/msaa223
Angomonas deanei,6,28,Catta-Pretta et al. 2015; [17],GCA_000442575.2;GCA_000482225.1;GCA_001659865.1;GCA_903995115.1,https://www.frontiersin.org/articles/10.3389/fmicb.2015.00520/full,https://doi.org/10.3389/fmicb.2015.00520
Asterionella formosa,14.29,17,Butterwick et al. 2005; [13],GCA_002256025.1,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2427.2004.01317.x,https://doi.org/10.1111/j.1365-2427.2004.01317.x
Asterionellopsis glacialis,10.17,24.33333333,Thomas et al. 2012; [135],GCA_014885115.2,,
Aureococcus anophagefferens,27.73,18,"DeYoe and Suttle, 1994; [25]",GCA_000186865.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0022-3646.1994.00800.x,https://doi.org/10.1111/j.0022-3646.1994.00800.x
Babesia bigemina,8,37,Kania et al. 1995; [63],GCA_000723445.1;GCA_000981445.1,https://www.sciencedirect.com/science/article/pii/S0014489485710090,
Babesia bovis,7,38,"Schuster, 2002; [124]",GCA_000165395.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC118085/,https://doi.org/10.1006/expr.1995.1009
Babesia divergens,7,38,"Konrad, 1988; [67]",GCA_001077455.2,https://spiral.imperial.ac.uk/bitstream/10044/1/38073/2/Konrad-J-1986-PhD-Thesis.pdf,NA
Balamuthia mandrillaris,21,37,"Schuster and Visvesvara, 1998; [125]",GCA_001185145.1;GCA_001262475.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1998.tb04557.x,https://doi.org/10.1111/j.1550-7408.1998.tb04557.x
Besnoitia besnoiti,17.9,37,Frey et al. 2016; [38],GCA_002563875.1,https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-016-1405-9,https://doi.org/10.1186/s13071-016-1405-9
Blastocystis hominis,8.5,36,"Zierdt and Swan, 1981; [151]",GCA_000151665.1;GCA_003575125.1,https://pubmed.ncbi.nlm.nih.gov/7198685/,https://doi.org/10.1111/j.1550-7408.1981.tb05324.x
Blastocystis sp. subtype 4,21.44,37,"Mirza and Tan, 2009; [90]",GCA_000743755.1;GCA_000963395.1,https://link.springer.com/article/10.1007/s00436-008-1203-1,https://doi.org/10.1007/s00436-008-1203-1
Bodo saltans,3.47,20,"Rose and Caron, 2007; [119]",GCA_001460835.1,,
Breviolum minutum,52.8,25,Cato et al. 2019; [16],GCA_000507305.1,https://www.g3journal.org/content/9/11/3843,https://doi.org/10.1534/g3.119.400363
Cafeteria roenbergensis,30.81,10,"Rose and Caron, 2007; [119]",GCA_008330625.1;GCA_008330635.1;GCA_008330645.1;GCA_008330665.1,,
Chromera velia,32,28,"Eliăka Trsková, 2015; [137]",GCA_000585135.1,https://theses.cz/id/n47qir/15012357,NA
Crithidia acanthocephali,7.68,27,"Manning and Wolstenholme, 1976; [81]",GCA_000482105.1,https://rupress.org/jcb/article/70/2/406/59670,https://doi.org/10.1083/jcb.70.2.406
Crithidia bombi,1.7,27,"Popp and Lattorff, 2011; [106]",GCA_002216585.1;GCA_002216605.1;GCA_900240985.1,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1550-7408.2010.00514.x,https://doi.org/10.1111/j.1550-7408.2010.00514.x
Crithidia fasciculata,5,25,"Blum, 1969; [9]",GCA_000331325.2,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1550-7408.1969.tb02277.x,https://doi.org/10.1111/j.1550-7408.1969.tb02277.x
Cryptosporidium parvum,15,37,Bessof et al. 2013; [8],GCA_000209695.1;GCA_001305335.1;GCA_001305415.1;GCA_001305435.1;GCA_001305455.2;GCA_001305475.1;GCA_001306235.1;GCA_001306245.1;GCA_002093595.1;GCA_002093605.1;GCA_002093615.1;GCA_003024765.1;GCA_003057855.1;GCA_003148445.1;GCA_004337825.1;GCA_004337865.1;GCA_004337875.1;GCA_004337945.1;GCA_015245375.1,https://aac.asm.org/content/57/4/1804.short,https://doi.org/10.1128/AAC.02460-12
Cyanophora paradoxa,39,24,"Bothe and Floener, 1978; [11]",GCA_004431415.1,https://www.degruyter.com/document/doi/10.1515/znc-1978-11-1228/html,https://doi.org/10.1515/znc-1978-11-1228
Cyclotella cryptica,5,27,"Werner, 1970; [145]",GCA_013187285.1,https://hmr.biomedcentral.com/articles/10.1007/BF01609891,https://doi.org/10.1007/BF01609891
Dictyostelium discoideum,2.6,30,"Hohl and Raper, 1963; [51]",GCA_000004695.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC278107/,https://doi.org/10.1128/jb.85.1.191-198.1963
Dictyostelium purpureum,2.4,30,"Hohl and Raper, 1963; [51]",GCA_000190715.1;GCA_003640415.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC278107/,https://doi.org/10.1128/jb.85.1.191-198.1963
Dinobryon divergens,33.33,17,Butterwick et al. 2005; [13],GCA_015146095.1,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2427.2004.01317.x,https://doi.org/10.1111/j.1365-2427.2004.01317.x
Diplonema papillatum,12,27,Binnypreet et al. 2018; [65],GCA_001655075.1,https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/1462-2920.14041#:~:text=papillatum%20cultures%20reach%20the%20exponential;1).,https://doi.org/10.1111/1462-2920.14041
Emiliania huxleyi,8.58,24,"Rose and Caron, 2007; [119]",GCA_000372725.1,,
Entamoeba histolytica,8.7,35.5,"Dvorak et al, 1995; [29]",GCA_001662325.1;GCA_015099795.1;GCA_000208925.2;GCA_000365475.1;GCA_000344925.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1995.tb05915.x,https://doi.org/10.1111/j.1550-7408.1995.tb05915.x
Entamoeba invadens IP1,21.7,24,"Dvorak et al, 1995; [29]",GCA_000330505.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1995.tb05915.x,https://doi.org/10.1111/j.1550-7408.1995.tb05915.x
Entodinium caudatum,15.39,39,"Dehority, 1998; [24]",GCA_002087855.2,https://academic.oup.com/jas/article/76/4/1189/4625233?login=true,https://doi.org/10.2527/1998.7641189x
Euglena gracilis,13.5,27.5,"Kempner and Miller, 1972; [66]",GCA_900893395.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1972.tb03472.x,https://doi.org/10.1111/j.1550-7408.1972.tb03472.x
Euplotes focardii,72.33,4,"Rose and Caron, 2007; [119]",GCA_001880345.1,,
Fragilariopsis cylindrus CCMP1102,28.17,5,Thomas et al. 2012; [135],GCA_001750085.1;GCA_900095095.1,,
Fragilariopsis kerguelensis,30.77,4,Thomas et al. 2012; [135],GCA_902825245.1,,
Giardia intestinalis assemblage A,6,37,"Nash, 2019; [94]",GCA_001493575.1,https://iai.asm.org/content/87/11/e00639-19,https://doi.org/10.1128/IAI.00639-19
Guillardia theta,34,18,Cheregi et al. 2015; [18],GCA_000002975.1;GCA_000315625.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4588893/,https://dx.doi.org/10.1093%2Fjxb%2Ferv362
Halocafeteria seosinensis,18,32.5,Park et al. 2006; [105],GCA_001687465.1,https://link.springer.com/article/10.1007%2Fs00792-006-0001-x,https://doi.org/10.1007/s00792-006-0001-x
Halteria grandinella,11.55,16.5,"Jürgens and S̆imek, 2000; [61]",GCA_006369765.1,http://www.int-res.com/abstracts/ame/v22/n1/p57-68/,https://doi.org/10.3354/ame022057
Leishmania amazonensis,7,27,da Silva et al. 2013; [22],GCA_000438535.1;GCA_003992505.1;GCA_005317125.1,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0081397#B19,https://doi.org/10.1371/journal.pone.0081397
Leishmania braziliensis,10,26,"Darling and Blum, 1987; [23]",GCA_003304975.1;GCA_902369275.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1987.tb03154.x,https://doi.org/10.1111/j.1550-7408.1987.tb03154.x
Leishmania donovani,9.8,26,Melo et al. 2017; [86],GCA_000227135.2;GCA_000470725.1;GCA_001989955.1;GCA_001989975.1;GCA_002243465.1;GCA_003719575.1;GCA_003730175.1;GCA_003730215.1;GCA_900635355.2;GCA_000283395.1;GCA_000316305.1,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0005924,https://doi.org/10.1371/journal.pntd.0005924
Leishmania guyanensis,20,34,Puentes et al. 2000; [109],GCA_003664525.1;GCA_902369315.1,https://www.ajtmh.org/view/journals/tpmd/63/1/article-p102.xml,https://doi.org/10.4269/ajtmh.2000.63.102
Leishmania infantum,5.89,37,Santarem et al. 2014; [122],GCA_003020905.1;GCA_003671315.1;GCA_900500625.2;GCA_902369335.1,https://pubmed.ncbi.nlm.nih.gov/24007671/,https://doi.org/10.1017/s0031182013001388
Leishmania major strain LV39c5,9,26,"Mandell and Beverley, 2017; [80]",GCA_000331345.1,https://www.pnas.org/content/114/5/E801,https://doi.org/10.1073/pnas.1619265114
Leishmania mexicana,7.1,28,Wheeler et al. 2011; [146],GCA_003992435.1;GCA_000234665.4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3166656/,https://dx.doi.org/10.1111%2Fj.1365-2958.2010.07479.x
Leishmania panamensis,20,34,Puentes et al. 2000; [109],GCA_000340495.1,https://www.ajtmh.org/view/journals/tpmd/63/1/article-p102.xml,https://doi.org/10.4269/ajtmh.2000.63.102
Leishmania tarentolae,6.7,26,Fritsche et al. 2007; [39],GCA_009731335.1;GCA_009770625.1,https://onlinelibrary.wiley.com/doi/abs/10.1002/jobm.200710111,https://doi.org/10.1002/jobm.200710111
Lenisia limosa,,,Hamman et al. 2016; [42],GCA_001655205.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4900452/,https://dx.doi.org/10.1038%2Fnature18297
Leptomonas pyrrhocoris,4.2,28,He et al. 2019; [45],GCA_001293395.1,https://mbio.asm.org/content/10/6/e02424-19#DC1,https://doi.org/10.1128/mBio.02424-19
Leptomonas seymouri,8,30,Hannan et al. 1984; [43],GCA_001299535.1,https://www.sciencedirect.com/science/article/pii/0166685184900495,https://doi.org/10.1016/0166-6851(84)90049-5
Naegleria fowleri,5.5,37,"Schuster, 2002; [124]",GCA_000499105.1;GCA_008403515.1;GCA_014843625.1;GCA_902703645.1,https://cmr.asm.org/content/15/3/342; https://books.google.com/books?hl=en&lr=&id=xwDVQmrFuFMC&oi=fnd&pg=PA143&dq=John;+D.+T.%0A1993.+Opportunistically+pathogenic+free-living+amebae;+p.+143-246.+In+J.+P.+Kreier+and+J.+R.+Baker+(ed.);+Parasitic+protozoa;+2nd+ed.;+vol.+3.+Academic+Press;+New+York;+N.Y.&ots=5tJsz_zUkQ&sig=V_nL-3Kkx_IkacUWdV9EmlyKKzE#v=onepage&q&f=false,https://doi.org/10.1128/CMR.15.3.342-354.2002
Naegleria gruberi,7,28,"Weik and John, 1977; [144]",GCA_000004985.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1977.tb05306.x,https://doi.org/10.1111/j.1550-7408.1977.tb05306.x
Naegleria lovaniensis,18.1,35,Nerad et al. 1983; [97],GCA_003324165.2,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1550-7408.1983.tb02935.x,https://doi.org/10.1111/j.1550-7408.1983.tb02935.x
Nannochloropsis gaditana,43.3,25,Beacham et al. 2014; [7],GCA_000569095.1;GCA_001614215.1;GCA_002838785.1,https://www.sciencedirect.com/science/article/pii/S2211926414000861,https://doi.org/10.1016/j.algal.2014.09.003
Nannochloropsis oceanica,40.6,25,Beacham et al. 2014; [7],GCA_000226695.1;GCA_004519485.1;GCA_009014695.1;GCA_009014725.1,https://www.sciencedirect.com/science/article/pii/S2211926414000861,https://doi.org/10.1016/j.algal.2014.09.003
Nannochloropsis oculata CCMP525,35.3,25,Beacham et al. 2014; [7],GCA_004335455.1,https://www.sciencedirect.com/science/article/pii/S2211926414000861,https://doi.org/10.1016/j.algal.2014.09.003
Nannochloropsis salina CCMP1776,40,25,Beacham et al. 2014; [7],GCA_001614245.1;GCA_004565275.1;GCA_004335465.1,https://www.sciencedirect.com/science/article/pii/S2211926414000861,https://doi.org/10.1016/j.algal.2014.09.003
Neospora caninum,9.84,37,Regidor-Cerrillo et al. 2011; [113],GCA_016097395.1;GCA_016097425.1;GCA_016801225.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3052184/,https://dx.doi.org/10.1186%2F1297-9716-42-41
Ochromonas danica,7,37,"Lin and Ju, 2017; [74]",GCA_015146655.1,https://www.liebertpub.com/doi/full/10.1089/ees.2016.0355,https://doi.org/10.1089/ees.2016.0355
Paramecium bursaria,16.6,23,Shuter et al. 1983; [128],GCA_016759035.1;GCA_016759055.1;GCA_016802755.1;GCA_016802775.1;GCA_016807985.1;GCA_016808005.1;GCA_016808045.1;GCA_016808065.1,https://www.jstor.org/stable/2461004?seq=1#metadata_info_tab_contents,https://doi.org/10.1086/284116
Paramecium caudatum,10.2,23,Shuter et al. 1983; [128],GCA_000715435.1,https://www.jstor.org/stable/2461004?seq=1#metadata_info_tab_contents,https://doi.org/10.1086/284116
Paramecium tetraurelia,10.3,29,Thiele et al. 1980; [134],GCA_000165425.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1980.tb04240.x,https://doi.org/10.1111/j.1550-7408.1980.tb04240.x
Paulinella micropora,240,22,Sato et al. 2020; [123],GCA_009731375.1,https://academic.oup.com/pcp/article/61/5/869/5733740?login=true#203478100,https://doi.org/10.1093/pcp/pcaa011
Pedospumella encystans,24.3,18,Bock et al. 2019; [10],GCA_015143685.1;GCA_015148585.1,https://www.sciencedirect.com/science/article/pii/S0269749118321018#appsec1,https://doi.org/10.1016/j.envpol.2018.09.146
Perkinsus chesapeaki,56,22,McLaughlin et al. 2000; [85],GCA_013115145.1,https://www.sciencedirect.com/science/article/pii/S0305049100002315,https://doi.org/10.1016/S0305-0491(00)00231-5
Perkinsus marinus,18,28,"LaPeyre and Faisal, 1996; [70]",GCA_000006405.1,https://scholarworks.wm.edu/vimsarticles/1500/,https://doi.org/10.1051/parasite/1997041067
Perkinsus olseni,26.2,26,Casas et al. 2002; [15],GCA_013115115.1;GCA_013115125.1;GCA_013115135.1;GCA_013115865.1;GCA_013115895.1,https://www.int-res.com/abstracts/dao/v52/n3/p217-231/,https://doi.org/10.3354/dao052217
Phaeodactylum tricornutum,7.92,22,"Rose and Caron, 2007; [119]",GCA_000150955.2,,
Physarum polycephalum,12,24,"Carlile, 1970; [14]",GCA_000413255.3,https://www.microbiologyresearch.org/content/journal/micro/10.1099/00221287-63-2-221?crawler=true,https://doi.org/10.1099/00221287-63-2-221
Phytomonas serpens,14,28,Jankevicius et al. 1989; [56],GCA_000331125.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1989.tb05361.x,https://doi.org/10.1111/j.1550-7408.1989.tb05361.x
Plasmodium falciparum 3D7,7,38,Madrid et al. 2008; [79],GCA_000002765.3;GCA_001715585.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2602904/,https://dx.doi.org/10.1074%2Fjbc.M807218200
Polarella glacialis,235,4,Zheng et al. 2012; [149],GCA_905237085.1;GCA_905237095.1,https://www.sciencedirect.com/science/article/pii/S0022098112003334,https://doi.org/10.1016/j.jembe.2012.09.003
Polysphondylium violaceum,2.4,30,"Hohl and Raper, 1963; [51]",GCA_000277445.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC278107/,https://doi.org/10.1128/jb.85.1.191-198.1963
Prorocentrum minimum,21.26,26.5,Thomas et al. 2012; [135],GCA_001652855.1,,
Stentor coeruleus,48,20,"Doughty, 1990; [27]",GCA_001970955.1,https://cdnsciencepub.com/doi/abs/10.1139/m90-072,https://doi.org/10.1139/m90-072
Sterkiella histriomuscorum,4.3,27,"Adl and Berger, 1997; [1]",GCA_001273305.2,https://www.sciencedirect.com/science/article/pii/S0932473997800259,https://doi.org/10.1016/S0932-4739(97)80025-9
Strigomonas culicis,9,28,Catta-Pretta et al. 2015; [17],GCA_000442495.1;GCA_000482145.1,https://www.frontiersin.org/articles/10.3389/fmicb.2015.00520/full,https://doi.org/10.3389/fmicb.2015.00520
Strigomonas oncopelti,7,25,"Wallis, 1966; [142]",GCA_000482165.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1966.tb01899.x,https://doi.org/10.1111/j.1550-7408.1966.tb01899.x
Symbiodinium microadriaticum,86.4,26,"Fitt and Trench, 1983; [35]",GCA_001939145.1;GCA_905231925.1,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1983.tb03456.x,https://doi.org/10.1111/j.1469-8137.1983.tb03456.x
Symbiodinium sp. clade A,62.64,28,Nitschke et al. 2015; [101],GCA_003297005.1,https://link.springer.com/content/pdf/10.1007/s00338-014-1220-8.pdf,https://doi.org/10.1007/s00338-014-1220-8
Tetrahymena thermophila,2,30,Nelsen et al. 1981; [96],GCA_016584475.1,https://www.sciencedirect.com/science/article/pii/0012160681902165,https://doi.org/10.1016/0012-1606(81)90216-5
Thalassiosira oceanica,10.02,20,"Sunda and Huntsman, 1995; [131]",GCA_000296195.2,https://www.sciencedirect.com/science/article/pii/030442039500035P,https://doi.org/10.1016/0304-4203(95)00035-P
Thalassiosira pseudonana,4.89,24,"Rose and Caron, 2007; [119]",GCA_000149405.2,,
Theileria annulata,35.4,37,Zweygarth et al. 2020; [152],GCA_000003225.1,https://onlinelibrary.wiley.com/doi/full/10.1111/tbed.13348,https://doi.org/10.1111/tbed.13348
Theileria parva,62.9,37,Zweygarth et al. 2020; [152],GCA_014884785.1;GCA_014884835.1;GCA_014884865.1,https://onlinelibrary.wiley.com/doi/full/10.1111/tbed.13348,https://doi.org/10.1111/tbed.13348
Thraustochytrium aureum,4.3,25,Min et al. 2012; [89],GCA_012862495.1,https://link.springer.com/article/10.1007/s11814-011-0287-y,https://doi.org/10.1007/s11814-011-0287-y
Toxoplasma gondii ME49,9,37,Radke et al. 2001; [111],GCA_000006565.2,https://www.sciencedirect.com/science/article/pii/S0166685101002845#BIB8,https://doi.org/10.1016/S0166-6851(01)00284-5
Toxoplasma gondii RH,5,37,Radke et al. 2001; [111],GCA_001593265.1,https://www.sciencedirect.com/science/article/pii/S0166685101002845#BIB8,https://doi.org/10.1016/S0166-6851(01)00284-5
Toxoplasma gondii VEG,6,37,Jerome et al. 1998; [59],GCA_000150015.2,https://iai.asm.org/content/66/10/4838.short,https://doi.org/10.1128/IAI.66.10.4838-4844.1998
Trichomonas gallinae,2.75,37,Honigberg et al. 1964; [53],GCA_008369845.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1964.tb01779.x,https://doi.org/10.1111/j.1550-7408.1964.tb01779.x
Trichomonas tenax,11.23,30,Sibaei et al. 2012; [30],GCA_900231805.1,https://www.sciencedirect.com/science/article/pii/S0014489412000355,https://doi.org/10.1016/j.exppara.2012.01.018
Trichomonas vaginalis,4.42,37,"Honigberg, 1961; [52]",GCA_002891335.1,https://www.jstor.org/stable/3275054?seq=1#metadata_info_tab_contents,
Triparma laevis f. inornata,59.41,5,Yamada et al. 2014; [148],GCA_012489335.1,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0103289,https://doi.org/10.2307/3275054
Tritrichomonas foetus,4,37,Hedstrom et al. 1990; [46],GCA_001839685.1;GCA_905133005.1,https://www.sciencedirect.com/science/article/pii/0006295290906599,https://doi.org/10.1016/0006-2952(90)90659-9
Trypanosoma brucei brucei,8.4,37,"Hirumi et al., 1997; [49]",GCA_900497135.1,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3156.1997.d01-268.x,https://doi.org/10.1046/j.1365-3156.1997.d01-268.x
Trypanosoma brucei gambiense DAL972,6,37,"Balber, 1983; [4]",GCA_000210295.1,https://pubmed.ncbi.nlm.nih.gov/6836284/,https://doi.org/10.1126/science.6836284
Trypanosoma congolense,8,27,Coustou et al. 2010; [20],GCA_002287245.1,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000618,https://doi.org/10.1371/journal.pntd.0000618
Trypanosoma cruzi,8.6,37,Engel et al. 1985; [31],GCA_000188675.2;GCA_000209065.1;GCA_002749415.1;GCA_002749425.1;GCA_003177095.1;GCA_003177105.1;GCA_003594385.1;GCA_003594405.1;GCA_003594425.1;GCA_003594445.1;GCA_003594465.1;GCA_003594485.1;GCA_003594585.1;GCA_003594605.1;GCA_003594625.1;GCA_003594645.1;GCA_003594685.1;GCA_003594705.1;GCA_003594715.1;GCA_003719155.1;GCA_003719455.1;GCA_010117175.1;GCA_010117215.1;GCA_013358655.1;GCA_015033625.1;GCA_015033655.1;GCA_015455285.1;GCA_900252365.1,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1985.tb03017.x,https://doi.org/10.1111/j.1550-7408.1985.tb03017.x
Trypanosoma equiperdum,11.15,37,Suganuma et al. 2017; [130],GCA_001457755.2,https://www.sciencedirect.com/science/article/pii/S2211320717300027,https://doi.org/10.1016/j.ijpddr.2017.04.002
Trypanosoma rangeli,20.8,27.5,Prestes et al. 2019; [108],GCA_003719475.1,https://www.sciencedirect.com/science/article/pii/S0014489419301365,https://doi.org/10.1016/j.exppara.2019.107727
Trypanosoma theileri,10,25,"Wink, 1979; [147]",GCA_002087225.1,https://www.sciencedirect.com/science/article/pii/002075197990016X,https://doi.org/10.1016/0020-7519(79)90016-X
Trypanosoma vivax,13.5,34,"Hirumi et al., 1991; [50]",GCA_000227375.1,https://ci.nii.ac.jp/naid/120006391324/,https://doi.org/10.32268/jprotozoolres.1.0_1
